Bridgwater and West Somerset,South West,85327,57652,0.675659522,0.62143551,0.197530008,0.135381253,0,0.032557413,0,0,0,0,0,0,0,0.013095816,0,0.079820415,0.133739127,0.126734874,0.1598243,0.184042392,0.315838891
Brigg and Goole,Yorkshire and The Humber,65939,43402,0.65821441,0.712893415,0.207363716,0.0502281,0,0.029514769,0,0,0,0,0,0,0,0,0,0.076515278,0.132938164,0.13523404,0.177102466,0.18787221,0.290337842
"Brighton, Kemptown",South East,69833,48533,0.694986611,0.349700204,0.515793378,0.061071848,0.027342221,0.04609235,0,0,0,0,0,0,0,0,0,0.172179049,0.180650974,0.13915481,0.153558334,0.141795247,0.212661586
"Brighton, Pavilion",South East,79057,57998,0.733622576,0.175454326,0.227783717,0,0.01327632,0.571588675,0,0,0,0,0,0,0,0.011896962,0,0.242379267,0.218528475,0.149757652,0.152279733,0.110577173,0.126477701
Bristol East,South West,73867,52154,0.706052771,0.324481344,0.531445335,0.067626644,0.036066265,0.040380412,0,0,0,0,0,0,0,0,0,0.117441028,0.235045257,0.181302334,0.149390512,0.129618238,0.187202631
Bristol North West,South West,76273,55885,0.732697023,0.387187975,0.489039993,0.088395813,0,0.035376219,0,0,0,0,0,0,0,0,0,0.139574073,0.194023836,0.164826845,0.148182973,0.131404777,0.221987496
Bristol South,South West,84079,55196,0.656477836,0.326762809,0.505380825,0.076581636,0.042122618,0.049152112,0,0,0,0,0,0,0,0,0,0.105800882,0.263949793,0.178024306,0.142783922,0.129526066,0.179915031
Bristol West,South West,99253,75528,0.760964404,0.116804364,0.622656498,0,0.011505667,0.249033471,0,0,0,0,0,0,0,0,0,0.285743533,0.301679592,0.140804009,0.100808268,0.077714903,0.093249695
Broadland,East,78151,56977,0.729062968,0.595573653,0.211892518,0.161380908,0,0.02478193,0,0,0,0,0,0,0,0.006370992,0,0.073721818,0.119947324,0.13182378,0.174452208,0.176720196,0.323334675
Bromley and Chislehurst,London,66697,45566,0.683179153,0.525786771,0.286770838,0.14530571,0,0.033928807,0,0,0,0,0,0,0,0.008207874,0,0.079351179,0.168025112,0.200870303,0.18920339,0.149985854,0.212564161
Bromsgrove,West Midlands,75078,54272,0.722874877,0.633991745,0.208247347,0.124907871,0,0.032853037,0,0,0,0,0,0,0,0,0,0.075282167,0.137195887,0.149799348,0.183295711,0.167895661,0.286531226
Broxbourne,East,73182,46706,0.638217048,0.655825804,0.231747527,0.084999786,0,0.027426883,0,0,0,0,0,0,0,0,0,0.093011576,0.160460036,0.17000226,0.179845818,0.160999925,0.235680386
Broxtowe,East Midlands,73052,55272,0.756611729,0.481292517,0.384842235,0,0,0.032674772,0,0,0,0,0,0,0,0.101190476,0,0.1045168,0.165178406,0.151616858,0.166280668,0.156162144,0.256245123
Buckingham,South East,83146,63458,0.7632117,0.583614359,0.120363075,0.261968546,0.020265372,0,0,0,0,0,0,0,0,0.013788648,0,0.08220651,0.120703559,0.152387074,0.190732192,0.183077193,0.270893473
Burnley,North West,64345,38984,0.605859041,0.403242356,0.368561461,0.089806074,0.086240509,0.018956495,0,0,0,0,0,0,0,0.033193105,0,0.095041262,0.17197108,0.157744833,0.165880377,0.164010808,0.24535164
Burton,West Midlands,75036,48738,0.649528226,0.606508269,0.30908121,0.055008412,0,0.029402109,0,0,0,0,0,0,0,0,0,0.092685435,0.16789959,0.162348514,0.175273756,0.164697496,0.23709521
Bury North,North West,68802,46841,0.680808697,0.462415405,0.460173779,0.033816528,0.026472535,0.017121752,0,0,0,0,0,0,0,0,0,0.092925916,0.160638267,0.155738407,0.180680552,0.16190966,0.248107197
Bury South,North West,75152,50274,0.668964232,0.438278235,0.430282054,0.046047659,0.033257748,0.016867566,0,0,0,0,0,0,0,0.035266738,0,0.090834043,0.177772618,0.169156154,0.173399892,0.160707376,0.228129918
Bury St Edmunds,East,89644,61957,0.691144973,0.609616347,0.206304372,0,0,0.156737737,0,0,0,0,0,0,0,0.027341543,0,0.081637715,0.147051225,0.145480474,0.170261137,0.164246815,0.291322634
Caerphilly,Wales,63166,40117,0.635104328,0.278809482,0.449136276,0,0.111922626,0,0,0.160131615,0,0,0,0,0,0,0,0.096546187,0.164618848,0.162009491,0.170683451,0.16291273,0.243229294
"Caithness, Sutherland and Easter Ross",Scotland,46930,31457,0.670296186,0.164542073,0.06154433,0.372095241,0.036208157,0,0.365610198,0,0,0,0,0,0,0,0,0.101332005,0.152495954,0.163102203,0.195543384,0.243072327,0.144454127
Calder Valley,Yorkshire and The Humber,79287,57793,0.728908901,0.518765248,0.418856955,0.049902237,0,0,0,0,0,0,0,0,0,0.012475559,0,0.079811759,0.130934652,0.146708763,0.194424257,0.185059868,0.263060702
Camberwell and Peckham,London,88971,56492,0.634948466,0.114671104,0.712631877,0.090048148,0.018427388,0.061973377,0,0,0,0,0,0,0,0.002248106,0,0.089027774,0.275752101,0.210983087,0.169594108,0.136982514,0.117660417
Camborne and Redruth,South West,70250,50367,0.716967972,0.531379673,0.358647527,0.069569361,0,0.026981952,0,0,0,0,0,0,0,0.013421486,0,0.106077869,0.135583232,0.137678597,0.166633927,0.17015676,0.283869616
Cambridge,East,79951,53729,0.672024115,0.15526066,0.479740922,0.300340598,0.019375012,0.040276201,0,0,0,0,0,0,0,0.005006607,0,0.260396454,0.19940607,0.134534773,0.132540712,0.111581633,0.161540358
Cannock Chase,West Midlands,74813,46313,0.619050165,0.683091141,0.253859607,0,0,0.063049252,0,0,0,0,0,0,0,0,0,0.088858779,0.16817146,0.153254912,0.182644577,0.165326107,0.241744165
Canterbury,South East,80203,60113,0.749510617,0.452181724,0.482724203,0.056693228,0,0,0,0,0,0,0,0,0,0.008400845,0,0.224806894,0.171620897,0.114890491,0.129415619,0.129723397,0.229542702
Cardiff Central,Wales,64037,41822,0.653091182,0.201472909,0.612237578,0.150590598,0.024054325,0,0,0,0,0,0,0,0,0.011644589,0,0.355412139,0.202487669,0.12525834,0.102651232,0.082034767,0.132155853
Cardiff North,Wales,68438,52666,0.769543236,0.362321042,0.49489234,0.067975544,0.02489272,0.015569817,0,0.030494057,0,0,0,0,0,0.003854479,0,0.135694105,0.16538662,0.150396357,0.154675371,0.156691445,0.237156102
Cardiff South and Penarth,Wales,78837,50579,0.64156424,0.289547045,0.541370925,0.059016588,0.039522331,0.023369383,0,0.047173728,0,0,0,0,0,0,0,0.110297675,0.246739983,0.171273153,0.148332097,0.140183399,0.183173692
Cardiff West,Wales,68508,46177,0.674038069,0.279836282,0.51774693,0.059141997,0.035060745,0.024536024,0,0.083678022,0,0,0,0,0,0,0,0.101108848,0.205239339,0.169157358,0.165028234,0.155457417,0.204008805
Carlisle,North West,65105,42873,0.658520851,0.551839153,0.357800947,0.065985585,0,0,0,0,0,0,0,0,0,0.024374315,0,0.091166732,0.153805,0.148397172,0.169291054,0.173874695,0.263465348
Carmarthen East and Dinefwr,Wales,57419,41002,0.714084188,0.344617336,0.210282425,0,0.056363104,0,0,0.388737135,0,0,0,0,0,0,0,0.079740303,0.120376228,0.119926752,0.160529382,0.191959381,0.327467954
Carmarthen West and South Pembrokeshire,Wales,59158,42114,0.711890192,0.526736952,0.342831362,0.044165836,0,0,0,0.08626585,0,0,0,0,0,0,0,0.084028754,0.131348648,0.12358181,0.156696359,0.185013283,0.319331145
Carshalton and Wallington,London,72941,49098,0.67311937,0.424090594,0.123854332,0.411279482,0.021243228,0.015458878,0,0,0,0,0,0,0,0.004073486,0,0.085728835,0.161896881,0.2119669,0.195225971,0.153481859,0.191699554
Castle Point,East,69608,44277,0.636090679,0.767238069,0.1657068,0.06705513,0,0,0,0,0,0,0,0,0,0,0,0.086001316,0.135395538,0.131105751,0.165698153,0.165300696,0.316498547
Central Ayrshire,Scotland,69742,46534,0.66723065,0.347745734,0.141466455,0.049060902,0,0,0.461726909,0,0,0,0,0,0,0,0,0.104381155,0.16287104,0.158453791,0.203090356,0.233220467,0.13798319
Central Devon,South West,74296,58072,0.781630236,0.552675988,0.24752032,0.151019424,0,0.048784268,0,0,0,0,0,0,0,0,0,0.069419238,0.111965258,0.131941924,0.172724916,0.189875551,0.324073114
Central Suffolk and North Ipswich,East,80037,56250,0.702799955,0.62672,0.21088,0.115288889,0,0.047111111,0,0,0,0,0,0,0,0,0,0.077609288,0.117576185,0.134151981,0.182577159,0.178877422,0.309207964
Ceredigion,Wales,56386,40105,0.711258114,0.221393841,0.157511532,0.173918464,0.05143997,0.016531605,0,0.379204588,0,0,0,0,0,0,0,0.150772325,0.129539572,0.099421375,0.14055159,0.171972107,0.307743031
Charnwood,East Midlands,79534,55365,0.696117384,0.634353834,0.229820284,0.087708841,0,0.048117041,0,0,0,0,0,0,0,0,0,0.086346459,0.149315117,0.1526531,0.174707628,0.167447516,0.269530179
Chatham and Aylesford,South East,71642,43340,0.604952402,0.665805261,0.238024919,0.066128288,0,0.025149977,0,0,0,0,0,0,0,0.004891555,0,0.093252873,0.188264749,0.176824806,0.182230211,0.156641202,0.202786159
Cheadle,North West,74577,55903,0.749601083,0.459617552,0.122551563,0.417830886,0,0,0,0,0,0,0,0,0,0,0,0.077985806,0.123230821,0.163055086,0.179317337,0.168624535,0.287786414
Chelmsford,East,80394,57122,0.710525661,0.559049053,0.180228283,0.250568958,0,0,0,0,0,0,0,0,0,0.010153706,0,0.091447033,0.184435754,0.181352378,0.178824463,0.143717055,0.220223318
Chelsea and Fulham,London,67110,46821,0.697675458,0.498601055,0.232203498,0.258516478,0,0,0,0,0,0,0,0,0,0.010678969,0,0.106183209,0.211865661,0.195192734,0.174217852,0.134032117,0.178508428
